indicator_code,indicator,short_name,country_code,country,better_when,native_unit_per_year,n_independent,first_time,last_time,native_slope_per_year,native_slope_ci_low,native_slope_ci_high,theilsen_intercept,favourable_slope_per_year,favourable_slope_ci_low,favourable_slope_ci_high,kendall_tau_native,kendall_tau_favourable,kendall_p_raw,is_australia
11_2,Negative affect balance,Negative affect,ARG,Argentina,lower,percentage points per year,6.0,2009.0,2024.0,0.20283044603333344,-0.38458890866666656,0.815122104366667,-397.1135259432669,-0.20283044603333344,-0.815122104366667,0.38458890866666656,0.6,-0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,AUS,Australia,lower,percentage points per year,6.0,2009.0,2024.0,0.17393485974666673,-0.23941342870000012,0.48472878763333327,-338.57309520465344,-0.17393485974666673,-0.48472878763333327,0.23941342870000012,0.3333333333333333,-0.3333333333333333,0.46944444444444444,True
11_2,Negative affect balance,Negative affect,AUT,Austria,lower,percentage points per year,6.0,2009.0,2024.0,0.03047888323333332,-0.34888272276666665,0.2624355906333336,-52.29459807771664,-0.03047888323333332,-0.2624355906333336,0.34888272276666665,0.06666666666666665,-0.06666666666666665,1.0,False
11_2,Negative affect balance,Negative affect,BEL,Belgium,lower,percentage points per year,6.0,2009.0,2024.0,0.2867121486666668,-0.2380138601,0.6587827260166668,-564.7674950184335,-0.2867121486666668,-0.6587827260166668,0.2380138601,0.6,-0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,BGR,Bulgaria,lower,percentage points per year,6.0,2009.0,2024.0,-0.47066000047499995,-1.116608593683333,0.5426953638666673,967.3256175067373,0.47066000047499995,-0.5426953638666673,1.116608593683333,-0.7333333333333333,0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,BRA,Brazil,lower,percentage points per year,6.0,2009.0,2024.0,0.551726235616667,-0.2198633227500002,1.0369931739,-1097.7755040258592,-0.551726235616667,-1.0369931739,0.2198633227500002,0.7333333333333333,-0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,CAN,Canada,lower,percentage points per year,6.0,2009.0,2024.0,0.486309879,0.03232438884999992,1.024993043866667,-969.4362571560999,-0.486309879,-1.024993043866667,-0.03232438884999992,0.8666666666666666,-0.8666666666666666,0.016666666666666666,False
11_2,Negative affect balance,Negative affect,CHE,Switzerland,lower,percentage points per year,6.0,2009.0,2024.0,-0.18280345021333327,-0.8451877219333331,0.43073114956666664,376.6440408192365,0.18280345021333327,-0.43073114956666664,0.8451877219333331,-0.6,0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,CHL,Chile,lower,percentage points per year,6.0,2009.0,2024.0,-0.2960886416416666,-0.6083857614499998,0.029226643450000072,611.6552475833207,0.2960886416416666,-0.029226643450000072,0.6083857614499998,-0.6,0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,COL,Colombia,lower,percentage points per year,6.0,2009.0,2024.0,0.07094205983333346,-0.4031049874333335,0.5609698663499998,-129.61993434501693,-0.07094205983333346,-0.5609698663499998,0.4031049874333335,0.06666666666666665,-0.06666666666666665,1.0,False
11_2,Negative affect balance,Negative affect,CRI,Costa Rica,lower,percentage points per year,6.0,2009.0,2024.0,0.41539473528333354,-0.35110874269999987,0.9535598506666668,-826.647773423742,-0.41539473528333354,-0.9535598506666668,0.35110874269999987,0.3333333333333333,-0.3333333333333333,0.46944444444444444,False
11_2,Negative affect balance,Negative affect,CZE,Czechia,lower,percentage points per year,6.0,2009.0,2024.0,-0.34216411011666664,-0.6846845342,0.12576194873333316,703.7254964717083,0.34216411011666664,-0.12576194873333316,0.6846845342,-0.6,0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,DEU,Germany,lower,percentage points per year,6.0,2009.0,2024.0,-0.09646981733333308,-0.36697282940000014,0.06970052875000003,205.33013956091617,0.09646981733333308,-0.06970052875000003,0.36697282940000014,-0.3333333333333333,0.3333333333333333,0.46944444444444444,False
11_2,Negative affect balance,Negative affect,DNK,Denmark,lower,percentage points per year,6.0,2009.0,2024.0,0.14858710496666666,-0.15247595643333334,0.4191739491333332,-290.29036755153334,-0.14858710496666666,-0.4191739491333332,0.15247595643333334,0.6,-0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,ESP,Spain,lower,percentage points per year,6.0,2009.0,2024.0,-0.22180486043333328,-1.169506361,1.397107489366667,463.06558711981654,0.22180486043333328,-1.397107489366667,1.169506361,-0.2,0.2,0.7194444444444444,False
11_2,Negative affect balance,Negative affect,EST,Estonia,lower,percentage points per year,6.0,2009.0,2024.0,-0.656795122011111,-0.8421985116333334,0.17902798114999996,1337.1989450758053,0.656795122011111,-0.17902798114999996,0.8421985116333334,-0.7333333333333333,0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,FIN,Finland,lower,percentage points per year,6.0,2009.0,2024.0,0.14653959497777772,-0.23195906426666676,0.3755676550333333,-286.79637248098874,-0.14653959497777772,-0.3755676550333333,0.23195906426666676,0.4666666666666666,-0.4666666666666666,0.2722222222222222,False
11_2,Negative affect balance,Negative affect,FRA,France,lower,percentage points per year,6.0,2009.0,2024.0,-0.19602072143333338,-0.7218141935333335,0.46098979496666637,408.20182561916675,0.19602072143333338,-0.46098979496666637,0.7218141935333335,-0.4666666666666666,0.4666666666666666,0.2722222222222222,False
11_2,Negative affect balance,Negative affect,GBR,United Kingdom,lower,percentage points per year,6.0,2009.0,2024.0,-0.0012866288666669352,-0.35038053789999984,0.48184039459999983,13.661221017633874,0.0012866288666669352,-0.48184039459999983,0.35038053789999984,-0.06666666666666665,0.06666666666666665,1.0,False
11_2,Negative affect balance,Negative affect,GRC,Greece,lower,percentage points per year,6.0,2009.0,2024.0,0.20809122506666672,-1.26202702075,1.297188851066667,-399.02518085568346,-0.20809122506666672,-1.297188851066667,1.26202702075,0.06666666666666665,-0.06666666666666665,1.0,False
11_2,Negative affect balance,Negative affect,HRV,Croatia,lower,percentage points per year,6.0,2009.0,2024.0,-0.5105598141600002,-2.0201903613333334,0.7929839684333331,1050.4492050130905,0.5105598141600002,-0.7929839684333331,2.0201903613333334,-0.3333333333333333,0.3333333333333333,0.46944444444444444,False
11_2,Negative affect balance,Negative affect,HUN,Hungary,lower,percentage points per year,6.0,2009.0,2024.0,-0.32595325730000013,-1.4168247803666665,0.60948365525,673.2151877217002,0.32595325730000013,-0.60948365525,1.4168247803666665,-0.4666666666666666,0.4666666666666666,0.2722222222222222,False
11_2,Negative affect balance,Negative affect,IDN,Indonesia,lower,percentage points per year,6.0,2009.0,2024.0,0.1335388852,-0.24158083429999996,0.49989314116666667,-260.8810322777,-0.1335388852,-0.49989314116666667,0.24158083429999996,0.2,-0.2,0.7194444444444444,False
11_2,Negative affect balance,Negative affect,IRL,Ireland,lower,percentage points per year,6.0,2009.0,2024.0,-0.07393343143333315,-0.4851612621666668,0.29178815773333344,158.6271809159163,0.07393343143333315,-0.29178815773333344,0.4851612621666668,-0.3333333333333333,0.3333333333333333,0.46944444444444444,False
11_2,Negative affect balance,Negative affect,ISL,Iceland,lower,percentage points per year,6.0,2009.0,2024.0,0.05878692101666664,-0.1515638988000001,0.22333360323333343,-110.92622184860828,-0.05878692101666664,-0.22333360323333343,0.1515638988000001,0.4666666666666666,-0.4666666666666666,0.2722222222222222,False
11_2,Negative affect balance,Negative affect,ISR,Israel,lower,percentage points per year,6.0,2009.0,2024.0,-0.24099500967777804,-0.9310444981999998,1.4866168402000006,505.14615840898944,0.24099500967777804,-1.4866168402000006,0.9310444981999998,-0.2,0.2,0.7194444444444444,False
11_2,Negative affect balance,Negative affect,ITA,Italy,lower,percentage points per year,6.0,2009.0,2024.0,-0.004303903466666625,-1.4299003123499998,1.3027232679,25.05002220408325,0.004303903466666625,-1.3027232679,1.4299003123499998,-0.06666666666666665,0.06666666666666665,1.0,False
11_2,Negative affect balance,Negative affect,JPN,Japan,lower,percentage points per year,6.0,2009.0,2024.0,0.07779091422666665,-0.14530159895000003,0.3697562741666666,-148.68020620632328,-0.07779091422666665,-0.3697562741666666,0.14530159895000003,0.06666666666666665,-0.06666666666666665,1.0,False
11_2,Negative affect balance,Negative affect,KOR,Korea,lower,percentage points per year,6.0,2009.0,2024.0,0.10868870304666664,-0.4461228971166668,0.7765078814999997,-204.2013671958533,-0.10868870304666664,-0.7765078814999997,0.4461228971166668,0.2,-0.2,0.7194444444444444,False
11_2,Negative affect balance,Negative affect,LTU,Lithuania,lower,percentage points per year,6.0,2009.0,2024.0,-0.5567674113799999,-1.3386661571999998,-0.27870822420000013,1143.5457118513696,0.5567674113799999,0.27870822420000013,1.3386661571999998,-0.8666666666666666,0.8666666666666666,0.016666666666666666,False
11_2,Negative affect balance,Negative affect,LUX,Luxembourg,lower,percentage points per year,6.0,2009.0,2024.0,-0.30742338430000005,-0.8792226904333335,0.14236114990000046,629.7823655893001,0.30742338430000005,-0.14236114990000046,0.8792226904333335,-0.6,0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,LVA,Latvia,lower,percentage points per year,6.0,2009.0,2024.0,-0.3897682776999999,-1.1166857822333334,0.46442442716666693,803.3304018630998,0.3897682776999999,-0.46442442716666693,1.1166857822333334,-0.4666666666666666,0.4666666666666666,0.2722222222222222,False
11_2,Negative affect balance,Negative affect,MEX,Mexico,lower,percentage points per year,6.0,2009.0,2024.0,-0.01794641350000011,-0.8482665506,0.8517143153000001,46.438932354150225,0.01794641350000011,-0.8517143153000001,0.8482665506,-0.2,0.2,0.7194444444444444,False
11_2,Negative affect balance,Negative affect,NLD,Netherlands,lower,percentage points per year,6.0,2009.0,2024.0,0.18793953917777767,-0.15939021343333337,0.36385422693333336,-369.9531626822887,-0.18793953917777767,-0.36385422693333336,0.15939021343333337,0.7333333333333333,-0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,NOR,Norway,lower,percentage points per year,6.0,2009.0,2024.0,0.25600866061111127,-0.08001064103333337,0.49773041476666674,-507.24109162195583,-0.25600866061111127,-0.49773041476666674,0.08001064103333337,0.6,-0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,NZL,New Zealand,lower,percentage points per year,6.0,2009.0,2024.0,0.012590622413333344,-0.3186424389666665,0.4501156982,-15.30234803063669,-0.012590622413333344,-0.4501156982,0.3186424389666665,0.06666666666666665,-0.06666666666666665,1.0,False
11_2,Negative affect balance,Negative affect,PER,Peru,lower,percentage points per year,6.0,2009.0,2024.0,-0.06658564317333339,-0.6678631350333338,0.4985479175333338,152.03803465422678,0.06658564317333339,-0.4985479175333338,0.6678631350333338,-0.3333333333333333,0.3333333333333333,0.46944444444444444,False
11_2,Negative affect balance,Negative affect,POL,Poland,lower,percentage points per year,6.0,2009.0,2024.0,-0.22481148734444448,-0.8332951949666665,0.7040874217333334,467.3416488270223,0.22481148734444448,-0.7040874217333334,0.8332951949666665,-0.3333333333333333,0.3333333333333333,0.46944444444444444,False
11_2,Negative affect balance,Negative affect,PRT,Portugal,lower,percentage points per year,6.0,2009.0,2024.0,-0.08614136829999926,-0.4781836684500001,0.3126803953166668,192.2910460303985,0.08614136829999926,-0.3126803953166668,0.4781836684500001,-0.6,0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,ROU,Romania,lower,percentage points per year,6.0,2009.0,2024.0,-0.866112731011111,-1.5100175080499998,0.42169682306666684,1767.4731199388555,0.866112731011111,-0.42169682306666684,1.5100175080499998,-0.7333333333333333,0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,SVK,Slovak Republic,lower,percentage points per year,6.0,2009.0,2024.0,-0.25790528038888877,-0.9658714787999999,0.003738132400000538,535.0667594513942,0.25790528038888877,-0.003738132400000538,0.9658714787999999,-0.7333333333333333,0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,SVN,Slovenia,lower,percentage points per year,6.0,2009.0,2024.0,-0.3781547327333333,-0.7346787585499998,0.027821255233333158,779.3986666078665,0.3781547327333333,-0.027821255233333158,0.7346787585499998,-0.7333333333333333,0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,SWE,Sweden,lower,percentage points per year,6.0,2009.0,2024.0,0.32886433454999997,-0.1267278639666666,0.6799219259666666,-651.871985982425,-0.32886433454999997,-0.6799219259666666,0.1267278639666666,0.7333333333333333,-0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,THA,Thailand,lower,percentage points per year,6.0,2009.0,2024.0,0.4281017787583333,-0.6490543024000001,1.1249256219666668,-854.943552506929,-0.4281017787583333,-1.1249256219666668,0.6490543024000001,0.7333333333333333,-0.7333333333333333,0.05555555555555555,False
11_2,Negative affect balance,Negative affect,TUR,Türkiye,lower,percentage points per year,6.0,2009.0,2024.0,0.3826404015666667,-1.4984721913666672,2.0331845375,-743.4258728826833,-0.3826404015666667,-2.0331845375,1.4984721913666672,0.6,-0.6,0.1361111111111111,False
11_2,Negative affect balance,Negative affect,USA,United States,lower,percentage points per year,6.0,2009.0,2024.0,0.14565713794444454,-0.2068665785333336,0.5284027125333335,-280.3099571269224,-0.14565713794444454,-0.5284027125333335,0.2068665785333336,0.3333333333333333,-0.3333333333333333,0.46944444444444444,False
11_2,Negative affect balance,Negative affect,ZAF,South Africa,lower,percentage points per year,6.0,2009.0,2024.0,0.03087329464166677,-0.20358901203333288,0.32739167253333373,-51.18716636727105,-0.03087329464166677,-0.32739167253333373,0.20358901203333288,0.06666666666666665,-0.06666666666666665,1.0,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,AUS,Australia,higher,PPP USD per person per year,15.0,2010.0,2024.0,458.22222222222223,371.0,599.0,-877403.2222222222,458.22222222222223,371.0,599.0,0.8476190476190477,0.8476190476190477,4.0734605880108527e-07,True
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,AUT,Austria,higher,PPP USD per person per year,15.0,2010.0,2024.0,170.5,20.5,299.42857142857144,-293156.5,170.5,20.5,299.42857142857144,0.40952380952380957,0.40952380952380957,0.03589723736788882,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,BEL,Belgium,higher,PPP USD per person per year,15.0,2010.0,2024.0,371.0,260.5,460.0,-701219.0,371.0,260.5,460.0,0.7142857142857143,0.7142857142857143,6.710364303783617e-05,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,CAN,Canada,higher,PPP USD per person per year,15.0,2010.0,2024.0,383.9230769230769,346.0,446.25,-733185.8461538461,383.9230769230769,346.0,446.25,0.8476190476190477,0.8476190476190477,4.0734605880108527e-07,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,CZE,Czechia,higher,PPP USD per person per year,15.0,2010.0,2024.0,759.0,596.6428571428571,878.0,-1496215.0,759.0,596.6428571428571,878.0,0.8285714285714286,0.8285714285714286,9.951376518836835e-07,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,DEU,Germany,higher,PPP USD per person per year,15.0,2010.0,2024.0,591.5,482.625,667.8,-1141215.5,591.5,482.625,667.8,0.9238095238095239,0.9238095238095239,4.4720613503682285e-09,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,DNK,Denmark,higher,PPP USD per person per year,15.0,2010.0,2024.0,496.25,383.0,573.7142857142857,-958217.25,496.25,383.0,573.7142857142857,0.9047619047619049,0.9047619047619049,1.6537756286433536e-08,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,ESP,Spain,higher,PPP USD per person per year,15.0,2010.0,2024.0,453.55555555555554,213.1,562.6666666666666,-875897.5555555555,453.55555555555554,213.1,562.6666666666666,0.6571428571428571,0.6571428571428571,0.00033037090163412914,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,EST,Estonia,higher,PPP USD per person per year,15.0,2010.0,2024.0,889.2,730.8571428571429,1048.7142857142858,-1765635.4000000001,889.2,730.8571428571429,1048.7142857142858,0.9047619047619049,0.9047619047619049,1.6537756286433536e-08,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,FIN,Finland,higher,PPP USD per person per year,15.0,2010.0,2024.0,272.3636363636364,178.85714285714286,370.3333333333333,-507005.4545454546,272.3636363636364,178.85714285714286,370.3333333333333,0.6761904761904762,0.6761904761904762,0.00019989992034469547,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,FRA,France,higher,PPP USD per person per year,15.0,2010.0,2024.0,385.0,258.85714285714283,456.42857142857144,-730468.0,385.0,258.85714285714283,456.42857142857144,0.8095238095238096,0.8095238095238096,2.2746672052227607e-06,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,GBR,United Kingdom,higher,PPP USD per person per year,15.0,2010.0,2024.0,398.0,221.85714285714286,563.5,-758143.0,398.0,221.85714285714286,563.5,0.7523809523809525,0.7523809523809525,1.9694049703970338e-05,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,GRC,Greece,higher,PPP USD per person per year,15.0,2010.0,2024.0,447.4,79.2,722.8,-875581.7999999999,447.4,79.2,722.8,0.5047619047619049,0.5047619047619049,0.008269998948239689,False
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,HRV,Croatia,higher,PPP USD per person per year,15.0,2010.0,2024.0,809.5,588.0833333333334,1080.5,-1609946.5,809.5,588.0833333333334,1080.5,0.7714285714285715,0.7714285714285715,1.0056000424717356e-05,False
