indicator_code,indicator,short_name,better_when,native_unit_per_year,first_time,last_time,n_independent,native_slope_per_year,native_slope_ci_low,native_slope_ci_high,favourable_slope_per_year,favourable_slope_ci_low,favourable_slope_ci_high,favourable_direction,endpoint_native_change,endpoint_favourable_change,endpoint_direction,slope_endpoint_agree,kendall_tau_native,kendall_tau_favourable,kendall_p_raw,kendall_p_holm,n_comparator_countries,comparator_median_favourable_slope,australia_percentile_including_australia
11_2,Negative affect balance,Negative affect,lower,percentage points per year,2009.0,2024.0,6.0,0.17393485974666673,-0.23941342870000012,0.48472878763333327,-0.17393485974666673,-0.48472878763333327,0.23941342870000012,unfavourable,2.609022896200001,-2.609022896200001,unfavourable,True,0.3333333333333333,-0.3333333333333333,0.46944444444444444,0.46944444444444444,46,0.00279526616666678,24.46808510638298
1_1,Households and NPISHs net adjusted disposable income per capita,Household income,higher,PPP USD per person per year,2010.0,2024.0,15.0,458.22222222222223,371.0,599.0,458.22222222222223,371.0,599.0,favourable,6004.0,6004.0,favourable,True,0.8476190476190477,0.8476190476190477,4.0734605880108527e-07,1.629384235204341e-06,31,574.6666666666666,39.0625
2_1,Employment rate,Employment rate,higher,percentage points per year,2010.0,2024.0,15.0,0.35838461538461475,0.18412499999999987,0.5095999999999975,0.35838461538461475,0.18412499999999987,0.5095999999999975,favourable,4.817999999999998,4.817999999999998,favourable,True,0.7523809523809525,0.7523809523809525,1.9694049703970338e-05,5.908214911191101e-05,43,0.43400000000000105,32.95454545454545
7_1_DEP,Lack of social support,Lack of social support,lower,percentage points per year,2009.0,2024.0,6.0,0.18584215291666664,0.03764879230000003,0.7488525810500001,-0.18584215291666664,-0.7488525810500001,-0.03764879230000003,unfavourable,5.116649933700001,-5.116649933700001,unfavourable,True,0.8666666666666666,-0.8666666666666666,0.016666666666666666,0.03333333333333333,46,-0.031998665716666874,28.72340425531915
